
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"2611",0,
,,"2612",0,
,,"2619",0,
,,"2620",0,
,,"2630",0,
,,"2640",0,
,,"2700",0,
,,"2810",0,
,,"2811",12,
,,"2812",0,
,,"2900",0,
,,"2910",0,
,,"2911",0,
,,"2919",4,
,,"2920",0,
,,"2921",0,
,,"2922",3,
,,"D000",0,
,,"3000",16,
,,"3010",0,
,,"3011",49,
,,"3019",3,
,,"3020",7,
,,"3100",6,
,,"3101",10,
,,"3109",3,
,,"3200",0,
,,"3210",0,
,,"3211",8,
,,"3212",12,
,,"3220",0,
,,"3221",7,
,,"3222",4,
,,"3223",3,
,,"3224",3,
,,"3230",0,
,,"3231",4,
,,"3232",21,
,,"3233",0,
,,"3234",0,
,,"3239",0,
,,"3240",0,
,,"3241",9,
,,"3242",15,
,,"3243",5,
,,"3244",14,
,,"3245",10,
,,"3290",0,
,,"3291",23,
,,"3292",0,
,,"3299",3,
,,"E000",14,
,,"3300",0,
,,"3310",0,
,,"3311",0,
,,"3312",0,
,,"3319",18,
,,"3320",0,
,,"3321",0,
,,"3322",5,
,,"3323",0,
,,"3330",0,
,,"3331",5,
,,"3332",7,
,,"3339",0,
,,"3400",0,
,,"3410",0,
,,"3411",17,
,,"3419",0,
,,"3490",0,
,,"3491",0,
,,"3492",0,
,,"3493",0,
,,"3494",9,
,,"3499",0,
,,"3500",0,
,,"3501",0,
,,"3502",0,
,,"3503",0,
,,"3504",10,
,,"3505",5,
,,"3600",0,
,,"3601",0,
,,"3602",4,
,,"3603",0,
,,"3604",0,
,,"3605",9,
,,"3606",3,
,,"3609",6,
,,"3700",0,
,,"3710",0,
,,"3711",0,
,,"3712",0,
,,"3720",0,
,,"3730",0,
,,"3731",0,
,,"3732",3,
,,"3733",0,
,,"3734",0,
,,"3735",0,
,,"3736",0,
,,"3739",4,
,,"3800",0,
,,"F000",4,
,,"3900",0,
,,"3910",0,
,,"3911",72,
,,"3912",0,
,,"3913",4,
,,"3920",0,
,,"3921",17,
,,"3922",7,
,,"4000",34,
,,"4100",6,
,,"4110",325,
,,"4120",3,
,,"4121",11,
,,"4122",24,
,,"4123",0,
,,"4129",36,
,,"4200",4,
,,"4210",0,
,,"4211",13,
,,"4212",5,
,,"4213",0,
,,"4214",5,
,,"4220",4,
,,"4221",34,
,,"4222",17,
,,"4229",3,
,,"4230",3,
,,"4231",53,
,,"4232",20,
,,"4240",0,
,,"4241",11,
,,"4242",3,
,,"4243",3,
,,"4244",17,
,,"4245",0,
,,"4250",0,
,,"4251",37,
,,"4252",7,
,,"4253",8,
,,"4259",3,
,,"4260",128,
,,"4270",0,
,,"4271",61,
,,"4272",5,
,,"4273",12,
,,"4274",7,
,,"4279",49,
,,"4300",0,
,,"4310",0,
,,"4320",0,
,,"G000",43,
,,"4400",36,
,,"4500",3,
,,"4510",0,
,,"4511",137,
,,"4512",168,
,,"4513",0,
,,"4520",125,
,,"4530",4,
,,"H000",0,
,,"4600",0,
,,"4610",64,
,,"4620",0,
,,"4621",0,
,,"4622",4,
,,"4623",13,
,,"4700",0,
,,"4710",0,
,,"4720",6,
,,"4800",0,
,,"4810",0,
,,"4820",0,
,,"4900",0,
,,"5000",0,
,,"5010",0,
,,"5020",0,
,,"5021",0,
,,"5029",0,
,,"5100",0,
,,"5101",23,
,,"5102",5,
,,"5200",0,
,,"5210",0,
,,"5211",0,
,,"5212",0,
,,"5219",0,
,,"5220",0,
,,"5290",0,
,,"5291",0,
,,"5292",0,
,,"5299",3,
,,"5300",0,
,,"5301",0,
,,"5309",3,
,,"I000",3,
,,"5400",0,
,,"5410",0,
,,"5411",22,
,,"5412",0,
,,"5413",3,
,,"5414",0,
,,"5419",0,
,,"5420",0,
,,"5500",3,
,,"5510",3,
,,"5511",25,
,,"5512",0,
,,"5513",16,
,,"5514",0,
,,"5520",0,
,,"5521",0,
,,"5522",0,
,,"5600",0,
,,"5610",0,
,,"5620",4,
,,"5621",8,
,,"5622",4,
,,"5700",0,
,,"5800",3,
,,"5801",4,
,,"5802",0,
,,"5809",0,
,,"5900",0,
,,"5910",0,
,,"5920",0,
,,"5921",0,
,,"5922",0,
,,"6000",0,
,,"6010",5,
,,"6020",0,
,,"J000",4,
,,"6200",11,
,,"6210",0,
,,"6220",0,
,,"6221",85,
,,"6222",0,
,,"6223",15,
,,"6229",0,
,,"6230",6,
,,"6240",0,
,,"6300",0,
,,"6310",3,
,,"6320",0,
,,"6321",0,
,,"6322",18,
,,"6330",0,
,,"6400",0,
,,"6410",0,
,,"6411",0,
,,"6419",11,
,,"6420",4,
,,"K000",3,
,,"6600",0,
,,"6610",0,
,,"6611",0,
,,"6619",3,
,,"6620",0,
,,"6630",0,
,,"6631",0,
,,"6632",13,
,,"6639",4,
,,"6640",0,
,,"6700",3,
,,"6710",0,
,,"6711",3,
,,"6712",4,
,,"6720",84,
,,"L000",0,
,,"6900",0,
,,"6910",0,
,,"6920",3,
,,"6921",12,
,,"6922",0,
,,"6923",10,
,,"6924",3,
,,"6925",0,
,,"6930",0,
,,"6931",45,
,,"6932",70,
,,"6940",11,
,,"6950",9,
,,"6960",0,
,,"6961",0,
,,"6962",26,
,,"6970",47,
,,"6990",0,
,,"6991",3,
,,"6999",0,
,,"7000",15,
,,"M000",0,
,,"7200",0,
,,"7210",0,
,,"7211",36,
,,"7212",14,
,,"7220",21,
,,"7290",0,
,,"7291",4,
,,"7292",0,
,,"7293",0,
,,"7294",0,
,,"7299",3,
,,"7300",0,
,,"7310",0,
,,"7311",35,
,,"7312",3,
,,"7313",17,
,,"7320",8,
,,"N000",0,
,,"7500",0,
,,"7510",39,
,,"7520",34,
,,"7530",69,
,,"7540",0,
,,"7550",0,
,,"7551",0,
,,"7552",0,
,,"7600",0,
,,"7700",0,
,,"7710",0,
,,"7711",33,
,,"7712",3,
,,"7713",32,
,,"7714",0,
,,"7719",0,
,,"7720",5,
,,"O000",3,
,,"8000",0,
,,"8010",24,
,,"8020",3,
,,"8021",142,
,,"8022",289,
,,"8023",57,
,,"8024",0,
,,"8100",0,
,,"8101",50,
,,"8102",8,
,,"8200",0,
,,"8210",0,
,,"8211",15,
,,"8212",13,
,,"8219",17,
,,"8220",0,
,,"P000",9,
,,"8400",0,
,,"8401",181,
,,"8402",0,
,,"8500",26,
,,"8510",0,
,,"8511",66,
,,"8512",6,
,,"8520",40,
,,"8530",0,
,,"8531",48,
,,"8532",11,
,,"8533",17,
,,"8534",18,
,,"8539",32,
,,"8590",0,
,,"8591",8,
,,"8599",3,
,,"8600",0,
,,"8601",165,
,,"8609",3,
,,"8700",19,
,,"8710",76,
,,"8790",68,
,,"Q000",26,
,,"8900",0,
,,"8910",0,
,,"8920",0,
,,"8921",0,
,,"8922",10,
,,"9000",0,
,,"9001",0,
,,"9002",11,
,,"9003",0,
,,"9100",3,
,,"9110",3,
,,"9111",26,
,,"9112",3,
,,"9113",3,
,,"9114",0,
,,"9120",0,
,,"9121",3,
,,"9129",13,
,,"9130",0,
,,"9131",0,
,,"9139",0,
,,"9200",0,
