
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"1813",3,
,,"1820",0,
,,"1821",0,
,,"1829",0,
,,"1830",0,
,,"1831",3,
,,"1832",0,
,,"1840",0,
,,"1841",4,
,,"1842",0,
,,"1850",0,
,,"1851",3,
,,"1852",3,
,,"1890",0,
,,"1891",0,
,,"1892",0,
,,"1899",0,
,,"1900",3,
,,"1910",0,
,,"1911",0,
,,"1912",0,
,,"1913",0,
,,"1914",0,
,,"1915",0,
,,"1916",0,
,,"1919",0,
,,"1920",0,
,,"2000",4,
,,"2010",0,
,,"2020",0,
,,"2021",0,
,,"2029",0,
,,"2030",0,
,,"2031",3,
,,"2032",0,
,,"2033",3,
,,"2034",0,
,,"2090",0,
,,"2100",0,
,,"2110",8,
,,"2120",0,
,,"2121",0,
,,"2122",0,
,,"2130",4,
,,"2131",0,
,,"2132",0,
,,"2133",0,
,,"2139",0,
,,"2140",0,
,,"2141",0,
,,"2142",3,
,,"2149",0,
,,"2200",0,
,,"2210",0,
,,"2220",0,
,,"2221",0,
,,"2222",0,
,,"2223",0,
,,"2224",0,
,,"2229",0,
,,"2230",0,
,,"2231",0,
,,"2239",0,
,,"2240",3,
,,"2290",3,
,,"2291",0,
,,"2292",4,
,,"2293",0,
,,"2299",3,
,,"2300",0,
,,"2310",0,
,,"2311",0,
,,"2312",0,
,,"2313",0,
,,"2319",3,
,,"2390",0,
,,"2391",4,
,,"2392",4,
,,"2393",0,
,,"2394",5,
,,"2399",0,
,,"2400",4,
,,"2410",0,
,,"2411",0,
,,"2412",0,
,,"2419",3,
,,"2420",0,
,,"2421",3,
,,"2422",3,
,,"2429",9,
,,"2430",0,
,,"2431",0,
,,"2432",0,
,,"2439",0,
,,"2440",0,
,,"2441",0,
,,"2449",0,
,,"2450",0,
,,"2451",0,
,,"2452",0,
,,"2460",0,
,,"2461",0,
,,"2462",0,
,,"2463",0,
,,"2469",0,
,,"2490",0,
,,"2491",3,
,,"2499",3,
,,"2500",0,
,,"2510",3,
,,"2511",3,
,,"2512",0,
,,"2513",0,
,,"2519",7,
,,"2590",0,
,,"2591",6,
,,"2592",0,
,,"2599",3,
,,"C000",54,
,,"2600",6,
,,"2610",0,
,,"2611",3,
,,"2612",0,
,,"2619",0,
,,"2620",0,
,,"2630",6,
,,"2640",0,
,,"2700",0,
,,"2810",0,
,,"2811",23,
,,"2812",0,
,,"2900",3,
,,"2910",5,
,,"2911",3,
,,"2919",0,
,,"2920",0,
,,"2921",0,
,,"2922",0,
,,"D000",0,
,,"3000",65,
,,"3010",0,
,,"3011",186,
,,"3019",3,
,,"3020",44,
,,"3100",3,
,,"3101",20,
,,"3109",24,
,,"3200",14,
,,"3210",0,
,,"3211",0,
,,"3212",36,
,,"3220",0,
,,"3221",13,
,,"3222",18,
,,"3223",10,
,,"3224",8,
,,"3230",0,
,,"3231",42,
,,"3232",81,
,,"3233",20,
,,"3234",11,
,,"3239",12,
,,"3240",5,
,,"3241",20,
,,"3242",30,
,,"3243",24,
,,"3244",48,
,,"3245",3,
,,"3290",0,
,,"3291",30,
,,"3292",0,
,,"3299",20,
,,"E000",35,
,,"3300",0,
,,"3310",0,
,,"3311",0,
,,"3312",0,
,,"3319",7,
,,"3320",0,
,,"3321",4,
,,"3322",0,
,,"3323",4,
,,"3330",0,
,,"3331",0,
,,"3332",0,
,,"3339",9,
,,"3400",0,
,,"3410",0,
,,"3411",0,
,,"3419",0,
,,"3490",3,
,,"3491",0,
,,"3492",9,
,,"3493",10,
,,"3494",12,
,,"3499",0,
,,"3500",0,
,,"3501",0,
,,"3502",0,
,,"3503",0,
,,"3504",0,
,,"3505",0,
,,"3600",0,
,,"3601",3,
,,"3602",0,
,,"3603",0,
,,"3604",10,
,,"3605",45,
,,"3606",3,
,,"3609",12,
,,"3700",0,
,,"3710",0,
,,"3711",3,
,,"3712",4,
,,"3720",10,
,,"3730",0,
,,"3731",3,
,,"3732",0,
,,"3733",3,
,,"3734",4,
,,"3735",3,
,,"3736",3,
,,"3739",13,
,,"3800",0,
,,"F000",33,
,,"3900",0,
,,"3910",0,
,,"3911",5,
,,"3912",0,
,,"3913",0,
,,"3920",0,
,,"3921",4,
,,"3922",0,
,,"4000",6,
,,"4100",9,
,,"4110",42,
,,"4120",0,
,,"4121",11,
,,"4122",12,
,,"4123",0,
,,"4129",16,
,,"4200",5,
,,"4210",0,
,,"4211",3,
,,"4212",0,
,,"4213",0,
,,"4214",8,
,,"4220",0,
,,"4221",17,
,,"4222",3,
,,"4229",0,
,,"4230",0,
,,"4231",3,
,,"4232",0,
,,"4240",0,
,,"4241",0,
,,"4242",9,
,,"4243",0,
,,"4244",13,
,,"4245",0,
,,"4250",0,
,,"4251",54,
,,"4252",5,
,,"4253",10,
,,"4259",6,
,,"4260",20,
