
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"2239",0,
,,"2240",3,
,,"2290",0,
,,"2291",4,
,,"2292",3,
,,"2293",0,
,,"2299",3,
,,"2300",3,
,,"2310",4,
,,"2311",3,
,,"2312",8,
,,"2313",0,
,,"2319",7,
,,"2390",0,
,,"2391",0,
,,"2392",6,
,,"2393",0,
,,"2394",0,
,,"2399",0,
,,"2400",3,
,,"2410",0,
,,"2411",0,
,,"2412",0,
,,"2419",0,
,,"2420",0,
,,"2421",0,
,,"2422",0,
,,"2429",0,
,,"2430",0,
,,"2431",0,
,,"2432",7,
,,"2439",9,
,,"2440",0,
,,"2441",0,
,,"2449",0,
,,"2450",0,
,,"2451",0,
,,"2452",0,
,,"2460",0,
,,"2461",0,
,,"2462",0,
,,"2463",0,
,,"2469",0,
,,"2490",0,
,,"2491",3,
,,"2499",0,
,,"2500",0,
,,"2510",3,
,,"2511",32,
,,"2512",0,
,,"2513",0,
,,"2519",24,
,,"2590",0,
,,"2591",0,
,,"2592",3,
,,"2599",3,
,,"C000",50,
,,"2600",0,
,,"2610",0,
,,"2611",0,
,,"2612",0,
,,"2619",0,
,,"2620",0,
,,"2630",8,
,,"2640",0,
,,"2700",3,
,,"2810",0,
,,"2811",7,
,,"2812",0,
,,"2900",0,
,,"2910",0,
,,"2911",0,
,,"2919",0,
,,"2920",0,
,,"2921",0,
,,"2922",0,
,,"D000",0,
,,"3000",17,
,,"3010",0,
,,"3011",57,
,,"3019",4,
,,"3020",30,
,,"3100",0,
,,"3101",21,
,,"3109",9,
,,"3200",15,
,,"3210",0,
,,"3211",4,
,,"3212",12,
,,"3220",0,
,,"3221",7,
,,"3222",0,
,,"3223",3,
,,"3224",4,
,,"3230",0,
,,"3231",3,
,,"3232",31,
,,"3233",8,
,,"3234",0,
,,"3239",3,
,,"3240",0,
,,"3241",20,
,,"3242",9,
,,"3243",9,
,,"3244",6,
,,"3245",4,
,,"3290",0,
,,"3291",4,
,,"3292",0,
,,"3299",13,
,,"E000",9,
,,"3300",0,
,,"3310",0,
,,"3311",0,
,,"3312",0,
,,"3319",15,
,,"3320",0,
,,"3321",3,
,,"3322",0,
,,"3323",3,
,,"3330",0,
,,"3331",0,
,,"3332",14,
,,"3339",26,
,,"3400",0,
,,"3410",0,
,,"3411",0,
,,"3419",0,
,,"3490",0,
,,"3491",0,
,,"3492",0,
,,"3493",3,
,,"3494",12,
,,"3499",0,
,,"3500",0,
,,"3501",0,
,,"3502",0,
,,"3503",0,
,,"3504",9,
,,"3505",3,
,,"3600",0,
,,"3601",0,
,,"3602",28,
,,"3603",0,
,,"3604",0,
,,"3605",0,
,,"3606",0,
,,"3609",0,
,,"3700",0,
,,"3710",0,
,,"3711",0,
,,"3712",0,
,,"3720",3,
,,"3730",0,
,,"3731",3,
,,"3732",0,
,,"3733",0,
,,"3734",5,
,,"3735",0,
,,"3736",0,
,,"3739",6,
,,"3800",10,
,,"F000",4,
,,"3900",0,
,,"3910",0,
,,"3911",8,
,,"3912",0,
,,"3913",4,
,,"3920",0,
,,"3921",29,
,,"3922",5,
,,"4000",26,
,,"4100",3,
,,"4110",260,
,,"4120",0,
,,"4121",20,
,,"4122",4,
,,"4123",13,
,,"4129",33,
,,"4200",0,
,,"4210",0,
,,"4211",3,
,,"4212",8,
,,"4213",0,
,,"4214",3,
,,"4220",0,
,,"4221",24,
,,"4222",5,
,,"4229",0,
,,"4230",0,
,,"4231",127,
,,"4232",0,
,,"4240",0,
,,"4241",10,
,,"4242",7,
,,"4243",7,
,,"4244",13,
,,"4245",4,
,,"4250",0,
,,"4251",40,
,,"4252",4,
,,"4253",18,
,,"4259",0,
,,"4260",109,
,,"4270",0,
,,"4271",59,
,,"4272",14,
,,"4273",24,
,,"4274",5,
,,"4279",98,
,,"4300",0,
,,"4310",4,
,,"4320",0,
,,"G000",34,
,,"4400",6,
,,"4500",4,
,,"4510",0,
,,"4511",66,
,,"4512",181,
,,"4513",7,
,,"4520",51,
,,"4530",38,
,,"H000",0,
,,"4600",0,
,,"4610",58,
,,"4620",0,
,,"4621",0,
,,"4622",0,
,,"4623",4,
,,"4700",4,
,,"4710",0,
,,"4720",31,
,,"4800",0,
,,"4810",0,
,,"4820",0,
,,"4900",0,
,,"5000",0,
,,"5010",0,
,,"5020",0,
,,"5021",0,
,,"5029",0,
,,"5100",0,
,,"5101",15,
,,"5102",12,
,,"5200",0,
